Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
3500 BLOCK OF NE SANDY BLVD                                                                                       ,18-118431,Property,Laurelhurst,4/9/2018,4/1/2018,700,Larceny Offenses,1,All Other Larceny
NE HALSEY ST / NE 47TH AVE,18-84850,Property,Rose City Park,3/14/2018,3/1/2018,1030,Larceny Offenses,1,Theft From Motor Vehicle
4800 BLOCK OF NE 138TH AVE                                                                                        ,18-85203,Property,Argay,3/14/2018,3/1/2018,1600,Larceny Offenses,1,Theft From Motor Vehicle
7000 BLOCK OF SE 70TH AVE                                                                                         ,18-88121,Property,Brentwood-Darlington,3/16/2018,3/1/2018,2139,Motor Vehicle Theft,1,Motor Vehicle Theft
8300 BLOCK OF SE ASPEN SUMMIT DR                                                                                  ,18-904047,Property,Lents,2/24/2018,2/1/2018,1348,Larceny Offenses,1,All Other Larceny
8300 BLOCK OF SE ASPEN SUMMIT DR                                                                                  ,18-904068,Property,Lents,2/24/2018,2/1/2018,1348,Larceny Offenses,1,All Other Larceny
800 BLOCK OF SE FRANKLIN ST                                                                                      ,18-78873,Property,Brooklyn,3/9/2018,3/1/2018,800,Burglary,1,Burglary
0 BLOCK OF NE 80TH AVE                                                                                         ,18-78928,Property,Montavilla,3/9/2018,3/1/2018,1218,Vandalism,1,Vandalism
100 BLOCK OF NE SAN RAFAEL ST                                                                                    ,18-905043,Property,Eliot,4/1/2018,4/1/2018,2000,Larceny Offenses,1,Theft From Motor Vehicle
4500 BLOCK OF SW IDAHO DR                                                                                         ,18-905102,Property,Hayhurst,4/2/2018,4/1/2018,2330,Larceny Offenses,1,Theft From Motor Vehicle
N LOMBARD ST / N WESTANNA AVE,18-905108,Property,Portsmouth,4/3/2018,4/1/2018,1611,Larceny Offenses,1,Shoplifting
9800 BLOCK OF SE WASHINGTON ST                                                                                    ,18-112410,Property,Hazelwood,4/5/2018,4/1/2018,2019,Larceny Offenses,1,Shoplifting
1500 BLOCK OF SE 127TH AVE                                                                                        ,18-905148,Property,Mill Park,4/4/2018,4/1/2018,100,Larceny Offenses,1,All Other Larceny
4900 BLOCK OF SW 59TH AVE                                                                                         ,18-110579,Property,Bridlemile,4/4/2018,4/1/2018,1159,Burglary,1,Burglary
9900 BLOCK OF SE WASHINGTON ST                                                                                    ,18-111841,Property,Hazelwood,4/5/2018,4/1/2018,1157,Robbery,1,Robbery
4400 BLOCK OF SE 117TH AVE                                                                                        ,18-112131,Property,Powellhurst-Gilbert,4/5/2018,4/1/2018,1754,Larceny Offenses,1,All Other Larceny
900 BLOCK OF SE BELMONT ST                                                                                       ,18-109317,Property,Buckman West,3/4/2018,3/1/2018,1646,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
3900 BLOCK OF SE 91ST AVE                                                                                         ,18-109843,Property,Lents,4/3/2018,4/1/2018,800,Larceny Offenses,1,Theft From Building
200 BLOCK OF SW CLAY ST                                                                                          ,18-110682,Property,Downtown,4/3/2018,4/1/2018,1930,Fraud Offenses,1,Identity Theft
7900 BLOCK OF SE 76TH PL                                                                                          ,18-103399,Property,Brentwood-Darlington,3/16/2018,3/1/2018,400,Larceny Offenses,1,Theft From Building
7900 BLOCK OF SE 76TH PL                                                                                          ,18-103399,Property,Brentwood-Darlington,3/16/2018,3/1/2018,400,Fraud Offenses,1,Identity Theft
2800 BLOCK OF NE 8TH AVE                                                                                          ,18-112211,Property,Irvington,4/5/2018,4/1/2018,1749,Larceny Offenses,1,Purse-Snatching
4400 BLOCK OF NE 35TH PL                                                                                          ,18-78771,Property,Beaumont-Wilshire,3/2/2018,3/1/2018,2200,Burglary,1,Burglary
12600 BLOCK OF SE DIVISION ST                                                                                      ,18-79154,Property,Mill Park,3/9/2018,3/1/2018,330,Motor Vehicle Theft,1,Motor Vehicle Theft
3400 BLOCK OF SE 112TH AVE                                                                                        ,18-680462,Property,Powellhurst-Gilbert,1/25/2018,1/1/2018,900,Fraud Offenses,1,Credit Card/ATM Fraud
3400 BLOCK OF SE 112TH AVE                                                                                        ,18-680462,Property,Powellhurst-Gilbert,1/25/2018,1/1/2018,900,Fraud Offenses,1,Identity Theft
0 BLOCK OF N CENTER COURT ST                                                                                   ,18-903725,Property,Lloyd,2/24/2018,2/1/2018,2100,Larceny Offenses,1,All Other Larceny
11800 BLOCK OF NE HALSEY ST                                                                                        ,18-903747,Property,Parkrose Heights,3/8/2018,3/1/2018,2100,Vandalism,1,Vandalism
15200 BLOCK OF NE SCHUYLER CT                                                                                      ,18-118773,Property,Wilkes,4/10/2018,4/1/2018,2200,Motor Vehicle Theft,1,Motor Vehicle Theft
8400 BLOCK OF SW 30TH AVE                                                                                         ,18-116970,Property,Multnomah,4/9/2018,4/1/2018,1801,Fraud Offenses,1,Identity Theft
NW 20TH AVE / NW HOYT ST,18-905376,Property,Northwest,4/9/2018,4/1/2018,710,Larceny Offenses,1,Theft From Motor Vehicle
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Fraud Offenses,1,Identity Theft
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Motor Vehicle Theft,1,Motor Vehicle Theft
800 BLOCK OF NE HALSEY ST                                                                                        ,18-905436,Property,Lloyd,4/9/2018,4/1/2018,945,Larceny Offenses,1,Theft From Motor Vehicle
,18-X5071476,Property,Hazelwood,4/13/2018,4/1/2018,2102,Vandalism,1,Vandalism
1400 BLOCK OF NW KEARNEY ST                                                                                       ,18-87156,Property,Pearl,3/15/2018,3/1/2018,1930,Motor Vehicle Theft,1,Motor Vehicle Theft
NE SANDY BLVD / NE 25TH AVE,18-88874,Property,Kerns,3/17/2018,3/1/2018,1342,Motor Vehicle Theft,1,Motor Vehicle Theft
1400 BLOCK OF SE MORRISON ST                                                                                      ,18-905257,Property,Buckman East,4/5/2018,4/1/2018,1430,Vandalism,1,Vandalism
1000 BLOCK OF N RIVER ST                                                                                          ,18-114300,Property,Eliot,4/7/2018,4/1/2018,939,Vandalism,1,Vandalism
1000 BLOCK OF N RIVER ST                                                                                          ,18-114300,Property,Eliot,4/7/2018,4/1/2018,939,Burglary,1,Burglary
